Source,Target
ಅರುಣನು,ಅರುಣೆ
ಎದುರಿಸುತ್ತಿದ್ದಾನೆ,ಎದುರಿಸವೊಂದುಲ್ಲೆ
ಜೀವ,ಜುವ
ಇಲ್ಲದ,ಉಪ್ಪನ್ದಿ
ಮರಿ,ಕಿನ್ನಿ
ಇದ್ದಂತೆಯೇ,ದಿತ್ತಿನಂಚನೆ
ಬಿದ್ದಿರುತ್ತದೆ,ಬೂರೊಂದುಪ್ಪುನು
ಅತ್ತೆ,ಮಾಮಿ
ಯುದ್ಧ-ಮಾಡುತ್ತಾನೆ,ಲಡಾಯಿ-ಮಲ್ಪುವೆ
ಪೀಟರ್,ಪೀಟರ್
ಜೆಕ್ಲಾಸ್,ಜೆಕ್ಲಾಸ್
ನಂತಹ,ನಂಚಿನ
ಮೇಧಾವಿ,ಮೇಧಾವಿ
ವಿದ್ವಾಂಸರೇ,ವಿದ್ವಾಂಸೆರೇ
ಮಾತುಗಳನ್ನು,ಪಾತೆರೊನು
ಸಾಧರಣವಾಗಿ,ಸಾಧರಣವಾದು
ಬೇಸಾಯ,ಬೆನ್ನಿ
ಸಾಗುವಳಿಗೆ,ಸಾಗುವಳಿಗು
ಹೊಂದುವುದು,ಹೊಂದುನು
ಹೂರಟೆ,ಪಿದಡ್ಯೆ
ಬಡವು,ಉಂದೆನ್
ಬಾಯಾರಿಕೆಗೆ,ಅಸರುಗು
ಏನಾದರು,ದಾದಂಡಲಾ
ಕೊಡು,ಕೊರ್ಲ
ಎಣೆಲ್,ಎಣೆಲ್
ಸುಗ್ಗಿ,ಸುಗ್ಗಿ
ಕೊಳಕೆಯ,ಕೊಳಕೆದ
ಬೆಳೆ,ಬುಲೆ
ಮಾಡಿಕೊಂಡು,ಮಲ್ತೊಂದು
ಆಸೆ,ಆಸೆ
ಕಿರುಬಾಗಿಲಿನಲ್ಲಿ,ಕುರ್ವಕಿಲುಡ್
ಸ್ಥಾನದೊಲಗೆ,ಸಾನದುಲಯಿಡ್
ಮುಗಕರ್ಸಲೆ,ಮುಗಕರ್ಸಲೆ
ಪರಿಚಯವಾಗುವಿದಿಲ್ಲ,ಗುರ್ತಾಪುಜಿ
ಓದಿದಷ್ಟು,ಓದಿನಾತ್
ಮುಗಿಯದು,ಮುಗಿಯಂದ್
ಬಟ್ಟೆಯನ್ನು,ಕುಂಟುನು
ಹಾರಿಸುತ್ತಿದ್ದಾನೆ,ರಾಪಾವೊಂದುಲ್ಲೆ
ಓದಲಿಕ್ಕೆ,ಓದೆರ
ಹಾಕಿಮಲಗುವ,ಪಾಡ್ಡು
ನಟನೆ,ಜೆಪ್ಪುನ
ಜ್ಯೋತಿಷ್ಯ,ಬಲ್ಮೆ
ಹೇಳಿ,ಪನ್ಲೆ
ಪರಂಪರೆಯಲ್ಲಿ,ಪರಂಪರೆಡ್
ಗಣಪತಿಗೆ,ಗಣಪತಿಗ್
ಪೂಜೆ,ಪೂಜೆ
ಬದಿಯಲ್ಲಿ,ಬರಿಯೆ
ಅಂತೆಲೇ,ಅಂಚನೇ
ತಾಲೂಕಿನ,ತಾಲೂಕುದ
ಪಣೋಲಿಬೈಲಿ,ಪಣೋಲಿಬೈಲ್ಡ್
ನಲ್ಲಿ,ನಿಲೆತ್
ನಲೆನಿಂತು,ಕಾರ್ಣಿಕ
ಕಾರಣೀಕ,ಶಕ್ತಿಯಾದುಲ್ಲಲ್
ಬದಲಾವಣೆಯ,ಬದಲಾವಣೆದ
ಎಲ್ಲವೂ,ಪೂರಲಾ
ಬದಲಾಗುತ್ತಾ,ಬದಲಾವೊಂದು
19,19
ಸಾಂಕ್ರಮಿಕ,ಸಾಂಕ್ರಮಿಕ
ರೋಗವನ್ನು,ರೋಗನ್
ಎದುರಿಸಲು,ಎದುರಿಸಾಯರೇ
ವೈದ್ಯಕೀಯ,ವೈದ್ಯಕೀಯ
ಹಾಕಲು,ಪಾಡ್ಯರೆ
(ಖರೀದಿಸಲು),ಈ
ಅನುದಾನವನ್ನು,ಉಪಯೋಗ
ಸೂಚನೆ,ಕೊರ್ತೆರ್.
ಶಕ್ತಿಗುಂದದೆ,ಸಕ್ತಿ
ವರುಣನು,ವರುಣೆ
ಎಣ್ಣುಳೆ,ಎಣ್ಣುಳೆ
ನಾಡಿನ,ನಾಡುದ
ಊರು,ಊರು
ಹೆತ್ತರೆ,ಪೆದ್ದಿಯೊಲುಂಡ
ಮಗುವನ್ನು,ಬಾಲೆನ್
ಇಟ್ಟುಕೊಳ್ಳುವ,ದೀವೊನುನ
ಭಾಗ್ಯ,ಭಾಗ್ಯ
ಅವಳಿಗಿರುವುದಿಲ್ಲ,ಅಲೆಗಿಪ್ಪಂದ್
ಪ್ರಾಯದಲ್ಲಿ,ಪ್ರಾಯೊಡು
ಮುದಿಯರು,ದಂಗಿನಾರ್
ವಾಪಾಸು,ಪಿರ
ಇಲ್ಲಿಗೆ,ಈಡೆ
ಮೊದಲು,ಸುರುಟು
ತಲುಪುತ್ತೀರೊ,ಎತ್ತುವೆರೋ
ಮಾವು,ಕುಕ್ಕು
ಸೀಮೆಯ,ಸೀಮೆದ
ಡೊಂಬ,ಡೊಂಬ
ಹೆಗಡೆ,ಹೆಗಡೆ
ಶಿವನನ್ನು,ಶಿವನ
ಆರಾಧಿಸುತ್ತಾನೆ,ಆರಾಧನೆ
ತೇಜಸ್ಸು,ತೇಜಸ್ಸು
ಮಾಯೆ,ಮಾಯೆ
ಮಹಿಮೆ,ಮಹಿಮೆ
ವಿಷಯ,ವಿಷಯ
ಸೇರಿಸಬೇಕು.,ಸೇರವೋಡು.
ಪೂಕರೆ,ಪೂಕರೆ
ನೆತ್ತಿ,ನೆತ್ತಿ
ನಂದದೆ,ತೆಕ್ಕಂದೆ
ಉರಿಯುತ್ತಿರುವ,ಅರ್ಲೊಂದುಪ್ಪುನ
ಸೂರ್ಯ,ಸೂರ್ಯೆ
ಬಾವಿಯಿಂದ,ಗುವೆಲ್‌ಡ್ದ್ಸ್‌
ಕೇರೆ,ಕೇರಿ
ಸೇದಿತು.,ಒಯಿತ್‌೦ಡ್‌
ಚಿಮುಕಿದರೆ,ಶೆಡ್ಡಿಂಡ
ರಕ್ತ,ನೆತ್ತೆರ್
ಬರಬಹುದು,ಬರು
ಇವಳಿಗೆ,ಮೊಲೆಗ್
ಇಡಬೇಕು,ದೀವೊಡ್
ಜಿಲ್ಲೆಗೆ,ಜಿಲ್ಲೆಗ್
ಸಹ,ಲ
ಬರುವ,ಬರ್ಪಿನ
ಸಾಧ್ಯತೆ,ಸಾಧ್ಯತೆ
ಇದೆ.,ಉಂಡು.
ಗಂಟೆಮಣಿಯನ್ನು,ನಲಿಪಿಯರ
ಅಂಗಳದಲ್ಲಿ,ಕೈಟ್
ಜೋರಾಗಿ,ಗಂಟೆಮಣಿ
ಆಡಿಸುತ್ತಾರೆ,ಇಪ್ಪುಂಡು
ಸುಧಾಮನು,ಸುಧಾಮೆ
ಸಂತಾನದ,ಸಂತಾನದ
ಆದಿಮೂಲ,ಆದಿಮೂಲದ
ನೇತಾಡಿ,ನೇಲ್ದ್
ತಿರುಗುತ್ತಿದ್ದ,ತಿರ್ಗೊಂದಿತ್ತಿನ
ಆಧಾರಕ್ಕೆ,ಆಧಾರೊಗ್
"ಪುಸ್ತಕ,","ಬೂಕು,"
ವಿಷಯಗಳನ್ನು,ವಿಷಯೋನ್
ಸಾಹಿತ್ಯ,ಸಾಹಿತ್ಯ
ಅಕಾಡೆಮಿಯಲ್ಲಿ,ಅಕಾಡೆಮಿತ್
ಡಿಜಿಟೈಜ್,ಡಿಜಿಟೈಜ್
ಚಿಡಿಛಿhieve,archieve
(ದಾಖಲೆ),ಪಡ್ಯಾರ
ಬೇಕಾಗುವ,ವ್ಯವಸ್ಥೆ
ದುರಾಲೋಚನೆ,ದುರಾಲೋಚನೆ
ಭೈರವ,ಬೈರವರಸುನ
ಮನದಲ್ಲಿ,ನಂಜಿದ
ನಂಜಿನ,ಬಿದೆ
ಮೊಳಕೆ,ಅನಿಲೆ
ಬಿಟ್ಟಿತ್ತು,ಕೊಡಿಂಡ್
ಬೈಲಿನುದ್ದಕ್ಕೂ,ಬೈಲುದ್ದೊಗು
ಬರುತ್ತಿದ್ದ,ಬರೊಂದಿತ್ತಿನ
ಆಟಿ,ಆಟಿ
ಕಳೆಂಜನನ್ನು,ಕಳೆಂಜನ್
ದೊಡ್ಡವರಂತ,ಮಲ್ಲಕುಲುಂದು
ಕಾಯುತ್ತಿದ್ದರು,ಕಾತೊಂದಿತ್ತೆರ್
ಅರ್ಜುನನು,ಅರ್ಜುನೆ
ವಾಯುಭಾರ,ವಾಯುಭಾರ
ಕುಸಿತಕ್ಕೆ,ಕುಸಿತಗ್
ಹಾನಿಗೊಳಗಾದ,ಪೋಡಿನ
ಸೋಮೇಶ್ವರದ,ಸೋಮೇಶ್ವರದ
ಹಿಂದು,ಹಿಂದು
"ರುದ್ರಭೂಮಿ,","ರುದ್ರಭೂಮಿ,"
ಸೋಮೇಶ್ವರ,ಸೋಮೇಶ್ವರ
ಹೇಮಚಂದ್ರರವರ,ಹೇಮಚಂದ್ರ
"ಮನೆ,",ಮೆರ್ನ
ಉಚ್ಚಿಲದ,ಇಲ್ಲ್
ರೋಹಿತ್,","
"ಮಾಸ್ಟರ್,",ಉಚ್ಚಿಲದ
ನಾಗೇಶ್,ರೋಹಿತ್
"ಉಚ್ಚಿಲ್,","ಮಾಸ್ಟರ್,"
ರೋಪೇಶ್,ನಾಗೇಶ್
ಉಚ್ಚಿಲ್,"ಉಚ್ಚಿಲ್,"
ಕಡಪ್ಪರ,ಉಚ್ವಿಲ್
ಫ್ರೆಂಡ್ಸ್,ಬೊಕ್ಕ
ಕ್ಲಬ್,ಕಡಪ್ಪರ
ಬೆಟ್ಟಂಪಾಡಿ,ಕ್ಲಬ್
ಎಂಡ್,ಅಂಚನೆ
ಪಾಯಿಂಟ್‍ನ,ಬೆಟ್ಟಂಪಾಡಿ
ಹತ್ತಿರ,ಎಂಡ್
ಶನಿವಾರ,ಪಾಯಿಂಟ್
ಭೇಟಿ,ದ
ಸಚಿವ,ಶನಿವಾರ
ಅಂಗರ,ಪೋಯಿನ
ರವರು,ಸಚಿವ
"ಸ್ಥಳೀಯರು,",ಅಂಗರ
ಪಕ್ಷದ,ಮೇರ್
"ಮುಖಂಡರು,",ಸ್ಥಳೀಯೆರ್
"ಅಧಿಕಾರಿಗಳ,",","
ಸಂತ್ರಸ್ತರ,ಪಕ್ಷದ
ಜೊತೆ,ಮುಖಂಡೆರ್
ಮಾತನಾಡಿ,ಅಧಿಕಾರಿಲೆನ
ನೀಡುತ್ತೇನೆಂದು,ಸಂತ್ರಸ್ತೆರ್ನ
ಭರವಸೆ,ಒಟ್ಟುಗು
ಆಲಡೆಗೂ,ಆಲಡೆಗುಲಾ
ಮೂಲಸ್ಥಾನಕ್ಕೂ,ಮೂಲಸ್ಥಾನೊಗುಲಾ
ಸಂಬಂಧ,ಸಮ್ಮಂದ
ಬೆರ್ಮೆರ್,ಬೆರ್ಮೆರ್
ಸಂಶೋಧನಾ,ಸಂಶೋಧನಾ
ಪ್ರಬಂಧದಲ್ಲಿ,ಪ್ರಬಂಧೊಡು
ಲೀಲಾ,ಲೀಲಾ
ಭಟ್,ಭಟ್
ಅರ್ಪಿತನು,ಅರ್ಪಿತೆ
ಸತೀಶನು,ಸತೀಶೆ
ಪಡುಮಲೆಯ,ಪಡುಮಲೆತ್ತ
ಅರಮನೆಗೆ,ಬೂಡುಗ್
ಬರುತ್ತೇವೆ,ಬರ್ಪ
ಕಾಲದಿಂದ,ಕಾಲೊರ್ದು
ಮಿನುಗುತ್ತಾ,ಮಿನ್ಕೊಂದು
ಬಂದದ್ದು,ಬೈದಿನವು
ಹಾಕುತ್ತದೆ,ಪಾಡುಂಡು
ಮುಖದಲ್ಲಿ,ಮೊನೆಡೆ
ಇರುವಾಗ,ಇಪ್ಪುನಗ
ಹೆಂಗಸರು,ಪೊಂಜೊನಕ್ಲ್
ಮದುವೆಗೆ,ಮದ್ಮೆಗ್
ಸಿಂಗಾರ,ಸಿಂಗಾರ
ಹೊರಡುವುದೂ,ಪಿದಾಡುನಲಾ
ಒಂದೇ,ಒಂಜೆ
ಸ್ನಾನಮಾಡಿಸಿದ,ಪಾರುಂಡು
ನೀರಲ್ಲೇ,ಪಣೆ
ಉಳಿಸಿ,ದಿಸಿಲ್ಲ
ಮನೆಯವರೂ,ಇಲ್ಲದಕುಲ್ಲಾ
ಗಂಡಿನ,ಆನನ
ಮೂಢ,ಪೂಟ್ಟು
ನಂಬಿಕೆಗಳನ್ನು,ನಂಬೊಲಿಗೆನ್‌
ಉತ್ತಮ,ಸುದಾರ್ನದ
ಸುಧಾರಿತ,ಸಮಾಜೊನು
ಸಮಾಜವನ್ನು,ಕಟ್ಟುನ
ಛಲ,ಇತ್ತ್‌ಂಡ್‌
ಹುಲಿಯನ್ನು,ಪಿಲಿನ್
ಕೊಂದ,ಕೆರ್ತಿನ
ಗುರುತಿಗೆ,ಗುರ್ತಗ್
ಬೇಕಾದಷ್ಟೆ,ಬೋಡಾದ್ತಾನೇ
ಬೆಳಕನ್ನು,ಬೊಲ್ಪುನು
ನಂದಿಸಿದಿರಿ,ತೆಕ್ಕಾಯರ್
ವೇಣೂರು,ಲಗಾಡಿ
ಪೇಟೆಯನ್ನು,ದೆಪ್ಪುನವು
ಲೂಟಿಗಯ್ಯುವುದು,ಖಂಡಿತ
ಗೊಡ್ಡು,ಗೊಡ್ಡೆರ್ಮೆ
ಎಮ್ಮೆ,ಕಂಜಿ
ಕರು,ಪಾಡುನಗಾ
ತಿರುಳು,ತಿರ್ಲ್
ತುಂಬಿದ,ದಿಂಜಿನ
ಆಚರಣೆಗಳನ್ನು,ಆಚರಣೆಲೆನ್
ರೂಪ,ರೂಪೊ
ಎನೊ,ದಾನೊ
ಮನಸ್ಸು,ಮನಸ್ಸ್‌
ಎಲ್‍ಕೆಜಿಯಿಂದಲೇ,ಎಲ್ಕೆಡ್ಡಿ೦ಚಿಡ್ಜೇ
ಬೆಳೆದು,ಬುಳೆದ್‌
ಬಂದಿತ್ತು.,ಬತ್ತ್‌ದಿತ್ತ್‌೦ಡ್‌
ಜಗ್ಗು,ಜಗ್ಗು
ಸಾಮಾನ್ಯ,ಸಾಮಾನ್ಯ
ಮಾನವರಿಗೆ,ನರಮಾನಿಲೆಗ್
ಕಷ್ಟವಾಗುತ್ತದೆ,ಕಷ್ಟಾಪುಂಡು
ಆಷಾಡ,ಆಟಿ
1,೧(ಜುಲಾಯಿ
(ಜುಲಾಯಿ,೧೭)-
17),ತಿಂಗೊಲ್ದ
ರಾಮನು,ರಾಮೆ
ಕೂಡ,ಕೂಡ
ಬಡತನದಲ್ಲೆ,ಬಡತನಡೆ
ಗುರುತು,ಗುರ್ತೊಡು
ಹಿಡಿದುಕೊಂದು,ರಕ್ಕಸಗ್‌
ರಾಕ್ಷಸನಿಗೆ,ಅಲೆನ
ಅವಳ,ಇಲ್ಲ್‌
ಹುಡುಕಬಹುದು,ಅಪ್ಪನ
ಎಂಬುದು,ಆಲಂಚನೆ
ಕೋಳಿ,ಕೆಲೆಪ್ಪುನಗಾ
ನೆನಪು,ನೆನೆಪು
ಆವಾಗಾವಾಗ,ಅಪಗಪಗ
ಆಗುತ್ತಿರುತ್ತದೆ,ಅವೊಂದುಪ್ಪುಂಡ್
ಕೊಳೆತು,ಕುರೀದ್
ನಡುಮನೆಯಲ್ಲೇ,ನಡಿಲ್ಲಡೇ
ಗುಂಡಿ,ಗುರಿ
ಮಣ್ಣಿಗೆ,ಮಣ್ಣ್
ಹಾಕಿದ್ದೂ,ಗ್
ಕಲ್ಜಿಗದ,ಕಲ್ಜಿಗದ
ಕರಿಯ,ಕರಿಯ
ನಿನಗೆ,ನಿಕ್ಕ್
ಕಳಸೆ,ಕಳಸೆ
ಸೇರುಗಳನ್ನು,ಸೇರ್
ನೋಡದಿದ್ದರೆ,ನೆಲಕೈ
ಕರ್,ಎಂಕ್ಕ್
ಎರಡ,ಇತೆ
ತುಂಬಿಸಿ,ಎಡ್ಡೆ
ನಿತ್ಯದ,ಪಂದೇ
ಮುಡಿ,ಮುಡಿ
ಆಗುತ್ತಿತ್ತಂತೆ,ಆಪೇಂದ್ಂಡ್ಗೆ
ಗೇರಲ್ಲಿ,ಗೋಂಕುಡು
ಮಾವಲ್ಲಿ,ಕುಕ್ಕುಡು
ಸಿಹಿ,ಚಜೀಪೆದ
ಸಾರವನ್ನು,ಸಾರೊನುಮೊರೆತ್‌ದ್‌
ಉಪ್ಪಿನ,ಉಪ್ಪುದ
ಸತ್ಯಾಗ್ರಹಕ್ಕೆ,ಸತ್ಯಾಗ್ರಹೊಗು
ಸೇರಿದರು.,ಸೇರೈೆರ್‌
ಒಮ್ಮೆಗೆ,ಒರೊಗು
ಒಬ್ಬಿಬ್ಬರಲ್ಲಿ,ಒಂಜಿರುವೆರಡ
ತಿನ್ನುವುದು,ತಿಣ್ಪುನು
ಜಗತ್ತು,ಜಗತ್ತು
ಸೃಷ್ಟಿಯಾದದ್ದು,ಉಂಡಾತಿನಿ
ಪ್ರೀತಿ,ಮೊಕೆ
ಬಾಂಧವ್ಯದಲ್ಲಿ,ಬಾಂಧವ್ಯಡ್
ಲಸಿಕೆಯ,ಲಸಿಕೆದ
ಕೊರತೆ!,ಕೊರತೆ!
ಬೆಂಗಳೂರಿಗೆ,ಬೆಂಗಳೂರುಗು
ಪ್ರಯಾಣಿಸುತ್ತಿದ್ದಾನೆ,ಪ್ರಯಾಣ
ಹೀಗೆಯೆ,ಇಂಚನೆ
ಹಾದಿಯಲ್ಲಿ,ಸಾದಿಡ್
ಬಾಯಾರಿಕೆ,ಜೋರು
ಹಂಗು,ಅಸರ್
ನೇತೃತ್ವ-ವಹಿಸುತ್ತಾನೆ,ಮುತಾಲಿಕೆನ್-ವಹಿಸುವೆ
ಪಾದದ,ಸೊಂಟೊಗು
ಇಳಿಸುತ್ತಾರೆ,ಕುಂಟು
ಮೊಮ್ಮಕ್ಕಳು,ಪುಲ್ಲಿ
ಪ್ರಶ್ನೆಗಳಿಗೂ,ಒಂಜಿ
ತಾಳ್ಮೆಯಲ್ಲಿ,ಪ್ರೆಶ್ನೆಗ್ಲಾ
ತಾಳ್ಮೆಗೆ,ಅಜ್ಜಿನ
ಕಟ್ಟಲಿಕ್ಕೆ,ಬಿಲೆ
ಎಲ್ಲ,ಮಾತ
ಅತಿಥಿ,ಅತಿಥಿ
ಪಡುವಣ,ಪಡ್ಡಯಿ
ಕಡಲಿನ,ಕಡಲ್‌ದ
ಉಪ್ಪನ್ನು,ಉಪ್ಪುನುಕಲತ್‌ದ್‌
ಜನಪದೀಯ,ಜನಪದೀಯ
ರೀತಿಯಲ್ಲಿ,ರೀತಿಡ್
ಚೌತಿ,ಚೌತಿ
ಆಚರಣೆ,ಆಚರಣೆ
ಮಾಡುವುದರಲ್ಲಿ,ಮಲ್ಪುನೆಟ್
ವೈವಿಧ್ಯತೆ,ವೈವಿಧ್ಯತೆ
ಊರಿನಲ್ಲಿರುವಾಗ,ಊರುಡು
ಖಾಸಗಿ,ಕುಡ್ಲದ
ದಾಖಲಿಸಿದ್ದರು.,ಆಸ್ಪತ್ರೆಗ್
ಮಂಗಳವಾರ,ಮಲ್ತಿತ್ತೆರ್.
ಮರಣಹೊಂದಿದರು.,ಅಲ್ಪ
ಹುಚ್ಚು,ಮರ್ಲ್
ಸಂತೆಯಲ್ಲಿ,ಸಂತೆಡ್
ನಡೆಯುತ್ತಿರುವುದು,ನಡೊತೊಂದುಪ್ಪುನು
ಯಾವುದನ್ನು,ಒವೆನ್
ಹುಡುಕುತ್ತಾ,ನಾಡೊಂದು
ಬ್ರಹ್ಮಕಲಶೋತ್ಸವವನ್ನು,ಬ್ರಹ್ಮಕಲಶೋತ್ಸವವನ್
8/6/2021,8/6/2021
13/6/2021,13/6/2021
ನಡೆಸಲು,ನಡಪಾಯರೇ
ತೀರ್ಮಾನ,ತೀರ್ಮಾನ
ಹೊಗಳುತ್ತಿದ್ದಾನೆ,ಪುಗರೊಂದುಲ್ಲೆ
ಒಬ್ಬೊಬ್ಬರೆ,ಒರಿಒರಿಯೆ
ಪೊರಿಶೇಂದಿಯನ್ನು,ಪೊರಿಕಲಿನ್
ಗರ್ಭಿಣಿಗೆ,ಬಂಜಿನಲೆಗ್
ಬರಿಗಳಿಗೆ,ಬರಿಕ್ಕ್
ಇದ್ದಹಾಗೆ,ಇತ್ತಿನಂಚ
ಮೂಲಸ್ಥಾನಗಳನ್ನು,ಮೂಲಸ್ಥಾನೊಲೆನ್
ನೋಡುತ್ತೇವೆ,ತೂಪ
ನೀರಿನಲ್ಲಿ,ಪುಟ್ಟಿ
ಸ್ನಾನಮಾಡಿಸುತ್ತಾರೆ,ಬಾಲೆನ್
ಬೇಕಾದರೆ,ಬೊಡಂಡ
ಇದ್ದವರಲ್ಲಿ,ಇತ್ತಿನಯಡ
ಹುಂಡಿ,ಪುಂಡಿ
ಹೆಚ್ಚವೇ,ಯೆಚ್ಚನೆ
ತಗೊಂಡು,ದೆತೊಂದು
ಎಳೆದು,ವೊಯಿತ್
ಕಂಪ್ಯೂಟರ್,ಕಂಪ್ಯೂಟರ್
ಹೊಂದಿರುವ,ಉಪ್ಪಿ
ಯುವಕ,ಯುವಕ
"ಮಂಡಲ,","ಮಂಡಲ,"
"ಸಂಘ,","ಸಂಘೋ,"
ಮಕ್ಕಳ,ಜೋಕುಲೆನ
"ಒಕ್ಕೂಟ,","ಒಕ್ಕೂಟ,"
ಕಾಲೇಜುಗಳೆಲ್ಲಾ,ಕಾಲೇಜ್
ಕಾರ್ಯಕ್ರಮಗಳ,ಅಕುಲೆನ
ಬಗ್ಗೆಯೂ,ದ
ಒಂದಷ್ಟು,ಬಗೆಟ್ಲ
ಸಲಹೆ,ಮನ್ಪ್ಯರ
ನೀಡುವುದು.,ಸಲಹೆ
ಗಾಂಧಿಯವರ,ಗಾಂಧಿಯೆರ್‌ನ
ಜೊತೆಯಲ್ಲಿದ್ದ,ಒಟ್ಟುಗು
ವಾರ್ಧಾದಿಂದ,ಸದಾಶಿವ
ಏಕೆ,ವಾರ್ಧಾಡ್ಬ್‌
?,ಬತ್ತರ್‌?
ಕೆತ್ತುವ,ಕೆತ್ತುನ
ವಿಚಾರದಲ್ಲಿ,ಇಚಾರೊ
ತಟ್ಟಿ,ಸಾದ್ಯೊನುನಾಡೆ
ನಿಲ್ಲುವಂತೆ,ಮುಟ್ಟ
ಮಾಡಿವೆ,ಎತ್ತುದುಂಡ್
ಅಜ್ಜ,ಅಜ್ಜ
ಗತಿ,ಗತಿ
ಆವತ್ತಿನ,ಆನಿದ
ಧನ,ಧನ
ಧಾನ್ಯ,ದಾನ್ಯ
ಕೊಡುವುದಿಲ್ಲ,ಕೊರ್ಪುಜೆರ್
ಮೂರ್ತಿಯ,ಮೂರ್ತಿ
ಕೆತ್ತನೆ,ಕೆತ್ತುನ
ಪ್ರತಿಸ್ಥಾಪನೆಗೆ,ದಿನೊ
ಸಾರ್ವಜನಿಕ,ಸಾರ್ವಜನಿಕ
ಆಚರಣೆಗೆ,ಆಚರಣೆಗ್
ಒಂಜಿ,ಒಂಜಿ
ಶಾಸ್ತ್ರೀಯವಾದ,ಶಾಸ್ತ್ರೀಯವಾಯಿನ
ಚೌಕಟ್ಟು,ಚೌಕಟ್ಟ್
ಕಾಲದ,ಕಾಲದ
ಹನಿ,ಪನಿ
ಮಂಜಿನಲ್ಲಿ,ಮೈಂದುಡ್
ಆಗಬೇಕು,ಆವೊಡು
ಮೂರ್ತಿಯೊಂದನ್ನು,ಲಾ
ಎತ್ತಿ,ಪಾಪೆನ್
ನಿಲ್ಲುಸುತ್ತೇನೆ,ಕೆತ್ತ್
ಹಣ್ಣು,ಪಚ್ಚಿರ್
ಪೊದುಂಕುಲು,ಪೊದುಂಕುಲು
ಅದೆಕ್ಕೆ,ಅವೆಕ್ಕ್
ಕ್ಷಮೆ,ಮಾಪು
ಶಾಂತಿ,ಸುಖ
ನೆಮ್ಮದಿ,ಶಾಂತಿ
ಕೋಟೆಯ,ಕೋಟೆದ
ಹೊಕ್ಕಳು,ಪೊಗ್ಯರ
ಯಾವುದೇ,ಒಲುಲಾ
ತೂತು,ಮಟೆ
ಸಂದಿಯೂ,ಸಂದಿಲಾ
ಆಸ್ಪತ್ರೆಯ,ಆಸ್ಪತ್ರೆದ
ಬೆಡ್‍ನಲ್ಲಿ,ಬೆಡ್‌ಡ್
ರೋಗಲಕ್ಷಣ,ರೋಗ
ಇದ್ದರೂ\ಇಲ್ಲದಿದ್ದರೂ,ಲಕ್ಷಣ
ಚಿಕಿತ್ಸೆ,ಇತ್ತುಂಡಲ
ಪಡೆದುಕೊಳ್ಳುತ್ತಿದ್ದ,/ಇಜ್ಜಿನ್
ಎಪಿಎಲ್-ಬಿಪಿಎಲ್,ಡಲಾ
ರೋಗಿಗಳಿಗೆ,ಚಿಕಿತ್ಸೆ
ಆಯುಷ್ಮಾನ್,ದೆತೊನೊಂದು
ಭಾರತ್,ಇತ್ತಿನ
ಯೋಜನೆಯಡಿಯಲ್ಲಿಚಿಕಿತ್ಸೆ,ಎಪಿಎಲ್‌-ಬಿಪಿಎಲ್‌
ದೊರೆಯುತ್ತಿತ್ತು.,ರೋಗಿಲೆಗ್
ಜಾನಪದ,ಜಾನಪದ
ಪದದಲ್ಲಿ,ಪದಟ್ಟ್
ಹಾಕುವುದನ್ನು,ಪಾಡುನೆನ್
ಏಳನೆ,ಏಳನೆ
ತಿಂಗಳಲ್ಲಿ,ತಿಂಗೊಲ್ಗ್
ಹಾಕುವುದು,ಪಾಡುನ
ಉಣ್ಣಲು,ಉನಿಯೆರೆ
ಬರುತ್ತದೆ,ಬರ್ಪುಂಡು
ಅದರಲ್ಲೊಂದು,ಅಯಿಟೊಂಜಿ
ಪ್ರೀತಿಯೂ,ಮೋಕೆಲ
ಹಠ,ಹಠ
ಹಿಡಿದಾಗ,ಪತ್ನಗ
ಒಲ್ಲದ,ದಾಂತಿನ
ಮನಸಿನಿಂದ,ಮನಸ್ಡ್
ಈರಮ್ಮ,ಈರಮ್ಮ
ಮಗನಿಗೆ,ಮಗಕ್ಕ್
ಆಶೀರ್ವಾದ,ಆಸ್ರಾದೊ
ಬೋರುದ,ಬೋರುದ
ಬೊರುವೆಲ್,ಬೊರುವೆಲ್
ತೋಡುವ,ತೋಡುನ
ವಿನೋದನು,ವಿನೋದೆ
ಕೆಪ್ಪು,ಕೆಪ್ಪು
ಮುಪ್ಪಿನಂತೆ,ಮುಪ್ಪುದಲಕ
ಇದ್ದರೂ,ಇತ್ತ್ಂಡಲ
ತೈತ್ತರೀಯ,ತೈತ್ತರೀಯ
ಉಪನಿಷತ್ತಿನಲ್ಲಿ,ಉಪನಿಷತ್ತಡ್
ಉಳಿದ,ಒರಿನ
ರೂಪಾಯಿಯಲ್ಲಿ,ರೂಪಾಯಿಡ್
ನಡೆಸುವುದು,ಜೀವನ
ಕೇಳಿದ,ಪಂಡ್
"ಅವರು,",ದ್
ರಿಕ್ಷಾ,ಕೇಂಡಿನ
ಮಧ್ಯಾಹ್ನ,6
ಕೊಡಬೇಕೆಂದು,ಅವಕಾಶ
ಮನವಿ,ಕೊರೊಡು
ಮಾಡಿದರು.,ಪಂಡ್
ಮಾನವರೇ,ನರಮಾನಿಲೆ
ಹೊರತು,ಅತ್ತಂದೆ
ಬಾನು,ಬಾನ
ಅಲ್ಲಿಯೆ,ಅಲ್ಪನೆ
ಗುಡ್ಡಕ್ಕೆ,ಗುಡ್ಡೆಗ್
