en,Kn
ಅರ್ಪಿತನು  ತೆಗೆದುಕೊಳ್ಳುತ್ತಾನೆ,Arpita takes
ಸತೀಶನು ಸಮರ್ಪಿಸುತ್ತಿದ್ದಾನೆ,Satheesh is dedicating
ಆವಾಗ ನಾವು ಪಡುಮಲೆಯ ಅರಮನೆಗೆ ಬರುತ್ತೇವೆ ಎನ್ನುತ್ತಾರೆ,Then we come to the palace of Padumalai.
ಅನಾದಿ ಕಾಲದಿಂದ ಮಿನುಗುತ್ತಾ ಬಂದದ್ದು ಸತ್ಯ ತುಳುನಾಡು,Satya Tulunadu has been shining from time immemorial
ಅದು ಹೇಗೆ ಕಾಡಿಗೆ ಹಾಕುತ್ತದೆ ಮುಖದಲ್ಲಿ ಕಪ್ಪು ಇರುವಾಗ ಕಾಡಿಗೆ ಯಾಕೆ,How does it make it to the forest Why does it make it to the forest when it's black on the face?
ಹೆಣ್ಣು ಹೆಂಗಸರು ಮದುವೆಗೆ ಸಿಂಗಾರ ಆಗಿ ಹೊರಡುವುದೂ ಒಂದೇ,It's the same for women who go out as bridesmaids.
ಹೀಗೆ ಸ್ನಾನಮಾಡಿಸಿದ ನೀರಲ್ಲೇ ಸ್ವಲ್ಪ ಉಳಿಸಿ,"So, save some of it in the bathing water."
ಪ್ರಹ್ಲಾದನು ಹುರಿದುಂಬಿಸುತ್ತಿದ್ದಾನೆ,Prahlad is cheering
ಅನ್ವಯನು ಸ್ವೀಕರಿಸುತ್ತಾನೆ,The application accepts
ಹೆಣ್ಣಿನ ಮನೆಯವರೂ ಗಂಡಿನ ಮನೆಯವರು,The woman's household and the man's household
ವಿಶ್ವನಾಥನು ಬುದ್ಧಿಹೀನನಾಗಿದ್ದಾನೆ,Vishwanath is unintelligent
ಮೂಢ ನಂಬಿಕೆಗಳನ್ನು ದೂರ ಮಾಡಿ ಉತ್ತಮ ಸುಧಾರಿತ ಸಮಾಜವನ್ನು ಕಟ್ಟುವ ಛಲ ಇತ್ತು.,There was a tendency to remove superstitious beliefs and build a better developed society.
ಹುಲಿಯನ್ನು ಕೊಂದ ಗುರುತಿಗೆ ಬೇಕಾದಷ್ಟೆ ಬೆಳಕನ್ನು ನಂದಿಸಿದಿರಿ,Turn off the light enough to mark the tiger's death.
ಮೂರ್ತಿಯನ್ನು ಕಾಣದೆ ಹೋದ ಭೈರವ ಅರಸ ವೇಣೂರು ಪೇಟೆಯನ್ನು ಲೂಟಿಗಯ್ಯುವುದು ನಿಶ್ಚಯವಾಗಿದೆ,"The Bhairava king Venur, who did not see the idol, is certain to plunder the city."
ಗೊಡ್ಡು ಎಮ್ಮೆ ಕರು ಹಾಕುವಾಗ,While calving a buffalo
ಆದರೂ ಇಂತಹ ತಿರುಳು ತುಂಬಿದ ಆಚರಣೆಗಳನ್ನು ಮೂಲ ರೂಪ,"However, the basic form of such pulp-filled rituals"
ಅದ್ವೈತನು  ನಗುತ್ತಾನೆ,Advaita laughs
ತಲೆಗೆ ಮೂರು ಸಲ ತೆಂಗಿನ ಎಣ್ಣೆ ಹಾಕಿ,Apply three drops of coconut oil on your scalp.
ಆದರೆ ಎನೊ ಮಾಡುವ ಮನಸ್ಸು ಅವರಲ್ಲಿ ಎಲ್‍ಕೆಜಿಯಿಂದಲೇ ಬೆಳೆದು ಬಂದಿತ್ತು.,But it was from LKG that he developed the spirit to do something.
ಜಗ್ಗು ಹೇಳಿದ ಅಣ್ಣ,Brother-in-law
ಆವಾಗ ಸಾಮಾನ್ಯ ಮಾನವರಿಗೆ ಕಷ್ಟವಾಗುತ್ತದೆ,Then it becomes difficult for the common man
ಆಷಾಡ 1 (ಜುಲಾಯಿ 17) – ತಿಂಗಳ ಪ್ರಾರಂಭ.,Ashada 1 (July 17) - the beginning of the month.
ರಾಮನು ಅವನನ್ನು ಹುರಿದುಂಬಿಸುತ್ತಿದ್ದಾನೆ,Rama is cheering him on.
ಹಿಂದಿನ ಆ ಹೊತ್ತಿನಲ್ಲಿ ತುಳುವರು ಕೂಡ ಬಡತನದಲ್ಲೆ ಇದ್ದವರು,The Tulu people were also in poverty at that time in the past.
ಅದರ ಗುರುತು ಹಿಡಿದುಕೊಂದು ರಾಕ್ಷಸನಿಗೆ ಅವಳ ಮನೆ ಹುಡುಕಬಹುದು ಎಂಬುದು ತಾಯಿಯ ಆಲೋಚನೆ.,The mother's idea is that the demon can find her home by holding its mark.
ಕಲ್ಲಿನ ಕೋಳಿ ಕೂಗುವಾಗ,When the stone hen crows
ಅದರ ನೆನಪು ಆವಾಗಾವಾಗ ಆಗುತ್ತಿರುತ್ತದೆ,It will always be remembered.
ಕೊಳೆತು ವಾಸನೆ ಬರುವಾಗ ನಡುಮನೆಯಲ್ಲೇ ಗುಂಡಿ ತೆಗೆದು ಮಣ್ಣಿಗೆ ಹಾಕಿದ್ದೂ ಇದೆ,"When it smells of rotting, a pit is dug in the middle and thrown into the soil."
ಕಲ್ಜಿಗದ ಕರಿಯ ಬೆಕ್ಕು ಎನ್ನುವ ಹೆಸರು ನಿನಗೆ ದೈವ,The name of the black cat is God for you.
ಮನೆಯಲ್ಲಿ ಇರುವ ಕಳಸೆ ಸೇರುಗಳನ್ನು ಎಲ್ಲಾ ಬದಿಯಲ್ಲಿ ಇಡುತ್ತಾರೆ,The banyan branches in the house are kept on all sides.
ವಿನಯನು  ಉಚ್ಚಾರ-ಮಾಡುತ್ತಾನೆ,Vinay pronounces
ಮಾಡಿ ಕಡೆಗೆ ನೋಡದಿದ್ದರೆ ನೆಲಕೈ ಹೊಡೆಯುತ್ತಾರೆ,"If you don't look at it, you're going to get hit."
ಕರ್ ಕೋಲು ಈ ಎರಡ ಪದಗಳು ಸೇರಿ ಕರಂಗೋಲು ಆಗಿರಬಹುದು,Kar Kolu These two words together can be Karangolu
ಆನಂದನು  ಹುಡುಕುತ್ತಿದ್ದಾನೆ,Anand is looking for
ತುಂಬಿಸಿ ಅವರ ತಾಯಿ,filled with his mother's
ದಿನ ನಿತ್ಯದ ಕೆಲಸವನ್ನು,Day-to-day work
ಮುಡಿ ಅಕ್ಕಿ ಖರ್ಚು ಆಗುತ್ತಿತ್ತಂತೆ,As raw rice was being spent
ಗೇರಲ್ಲಿ ಮಾವಲ್ಲಿ ಸಿಹಿ ಸಾರವನ್ನು,Sweet extract in guava
ಉಪ್ಪಿನ ಸತ್ಯಾಗ್ರಹಕ್ಕೆ ಸೇರಿದರು.,He joined the Salt Satyagraha.
ಒಮ್ಮೆಗೆ ಒಬ್ಬಿಬ್ಬರಲ್ಲಿ ಪೆಟ್ಟು ತಿನ್ನುವುದು,Hitting each other once in a while
ಜಗತ್ತು ಎನ್ನುವುದು ಸೃಷ್ಟಿಯಾದದ್ದು ಪ್ರೀತಿ ಎನ್ನುವ ಬಾಂಧವ್ಯದಲ್ಲಿ,The world was created in a relationship of love.
ಅರುಣನು ಒಳ್ಳೆಯದನ್ನು ಕಲಿಯುತ್ತಾನೆ,Aruna learns the good
ಕಾರಣ ಲಸಿಕೆಯ ಕೊರತೆ!,The reason is the lack of vaccines!
ಹಾಗೆ ಬಂದ ಗರ್ಭಿಣಿ,Pregnant woman
ಆರಾಧ್ಯನು ಬೆಂಗಳೂರಿಗೆ ಪ್ರಯಾಣಿಸುತ್ತಿದ್ದಾನೆ,Aaradhya is travelling to Bangalore
ಹೀಗೆಯೆ ಕರಿಯ ಬಣ್ಣದ ದೈವ ಹಾದಿಯಲ್ಲಿ ಬರುವಾಗ ಬಾಯಾರಿಕೆ ಹಂಗು ಆಯಿತು,Thus the thirst was quenched while coming on the path of the god of black color.
ವಿಶ್ವನಾಥನು ನೇತೃತ್ವ-ವಹಿಸುತ್ತಾನೆ,Vishwanath takes the lead
ಅದ್ವೈತನು ಹೊಸ ವ್ಯವಹಾರಕ್ಕೆ ಬಂಡವಾಳ,Advaita invests in a new business
ಕಾಲಿನ ಪಾದದ ತನಕ ಇಳಿಸುತ್ತಾರೆ,Lift the leg up to the ankle
ಅಭಿಷೇಕನು ವಾದಮಾಡುತ್ತಾನೆ,The Anointing Arguments
ಮೊಮ್ಮಕ್ಕಳು ಕೇಳುವ ಒಂದೊಂದು ಪ್ರಶ್ನೆಗಳಿಗೂ ತಾಳ್ಮೆಯಲ್ಲಿ ಉತ್ತರ ಕೊಡುವ ಅಜ್ಜಿಯ ತಾಳ್ಮೆಗೆ ಬೆಲೆ ಕಟ್ಟಲಿಕ್ಕೆ ಆಗುವುದಿಲ್ಲ,The patience of a grandmother who patiently answers every question her grandchildren ask cannot be overstated.
ತುಳುನಾಡಿನಲ್ಲಿ ನೋಡಲಿಕ್ಕೆ ಎಲ್ಲಿಯೂ ಸಿಗದು,Can't find anywhere to look in Tulunadu
ಆದರೂ ಅವರನ್ನು ಎಲ್ಲ ಅತಿಥಿ ಎಂದು ಕರೆಯುತ್ತಾರೆ,Yet they are all called guests.
ಪಡುವಣ ಕಡಲಿನ ನೀರಿಗೆ ಉಪ್ಪನ್ನು ಕಲಸಿ,Add salt to the sea water.
ಆದರೆ ತುಳುವರು ಜನಪದೀಯ ರೀತಿಯಲ್ಲಿ ಚೌತಿ ಆಚರಣೆ ಮಾಡುವುದರಲ್ಲಿ ವೈವಿಧ್ಯತೆ ಇದೆ,"However, there is a variation in the way the Tulu people celebrate Chaturthi in a folk way."
ಊರಿನಲ್ಲಿರುವಾಗ ಕೋವಿಡ್ ಬಂದ ಕಾರಣ ಮಂಗಳೂರಿನ ಖಾಸಗಿ ಆಸ್ಪತ್ರೆಗೆ ದಾಖಲಿಸಿದ್ದರು. ಅಲ್ಲಿ ಮಂಗಳವಾರ ಮರಣಹೊಂದಿದರು.,"He was admitted to a private hospital in Mangalore after contracting Covid while in the city, where he died on Tuesday."
ಈ ಹುಚ್ಚು ಸಂತೆಯಲ್ಲಿ ನಾವು ನಡೆಯುತ್ತಿರುವುದು ಯಾವುದನ್ನು ಹುಡುಕುತ್ತಾ,Looking for what we're walking on in this crazy market
ಅದರ ಪ್ರಕಾರ ಬ್ರಹ್ಮಕಲಶೋತ್ಸವವನ್ನು ತಾರೀಕು 8/6/2021 ರಿಂದ 13/6/2021 ತನಕ ನಡೆಸಲು ತೀರ್ಮಾನ ಮಾಡಿದ್ದಾರೆ.,"Accordingly, it has been decided to hold the Brahmakalashotsava from the date 8/6/2021 to 13/6/2021."
ಆಕಾಶನು ಹೊಗಳುತ್ತಿದ್ದಾನೆ,The sky is praising
ಅಧೀಶನು ಚುರುಕಾಗಿ ಕೆಲಸವನ್ನು ಮಾಡುತ್ತಾನೆ,The officer is quick to act
ನಂತರ ಒಬ್ಬೊಬ್ಬರೆ ಪೊರಿಶೇಂದಿಯನ್ನು ಗರ್ಭಿಣಿಗೆ ಕೊಡುತ್ತಾರೆ,One person then gives the penis to the pregnant woman.
ಬರಿಗಳಿಗೆ ಸಂಬಂಧ ಇದ್ದಹಾಗೆ ಮೂಲಸ್ಥಾನಗಳನ್ನು ನೋಡುತ್ತೇವೆ,We will look at the originals as they relate to the blades.
ಖಾಲಿ ನೀರಿನಲ್ಲಿ ಸ್ನಾನಮಾಡಿಸುತ್ತಾರೆ,Take a bath in empty water
ಬೇಕಾದರೆ ಅಲ್ಲಿ ಇದ್ದವರಲ್ಲಿ ಕೇಳಿ ಒಂದು ಹುಂಡಿ ಅಕ್ಷತೆ ಸ್ವಲ್ಪ ಹೆಚ್ಚವೇ ತಗೊಂಡು ಎಳೆದು ಬಿಸಾಡುತ್ತಾರೆ,"If you want, ask those who are there to take a little more of the axe and pull it out and throw it away."
"ಕಂಪ್ಯೂಟರ್ ಜ್ಞಾನ ಹೊಂದಿರುವ ಯುವಕ ಮಂಡಲ, ಸಂಘ, ಮಕ್ಕಳ ಒಕ್ಕೂಟ, ಕಾಲೇಜುಗಳೆಲ್ಲಾ ಅವರ ಕಾರ್ಯಕ್ರಮಗಳ ಜೊತೆಗೆ ತುಳು ವಿಕಿಯ ಬಗ್ಗೆಯೂ ಒಂದಷ್ಟು ಕಾರ್ಯಕ್ರಮಗಳನ್ನು ಮಾಡಲು ಸಲಹೆ ನೀಡುವುದು.","Advising computer-savvy youth mandals, associations, children's associations, colleges to make some programs on Tulu wiki along with their programs."
ಸುಧಾಮನು ಕಾಗದವನ್ನು ಹರಿಯುತ್ತಿದ್ದಾನೆ,Sudha ̄ ma is flowing paper
ಗಾಂಧಿಯವರ ಜೊತೆಯಲ್ಲಿದ್ದ ಸದಾಶಿವರಾಯರು ವಾರ್ಧಾದಿಂದ ಮಂಗಳೂರಿಗೆ ಏಕೆ ಬಂದರು ?,"Why did Sadashiv Rai, who accompanied Gandhi, come to Mangalore from Wardha?"
ಬಾಹುಬಲಿಯನ್ನು ಕೆತ್ತುವ ವಿಚಾರದಲ್ಲಿ ವೇಣೂರಿನ ಮತ್ತು ಕಾರ್ಕಳದ ಅರಸರು ತೊಡೆ ತಟ್ಟಿ ನಿಲ್ಲುವಂತೆ ಮಾಡಿವೆ,The kings of Venur and Karkala have made the Bahubali stand tall when it comes to carving
ಅಜ್ಜ ಅಜ್ಜಿ ಅವರನ್ನು ಕೇಳುವ ಗತಿ ಇಲ್ಲ,Grandparents are not in a hurry to listen to them.
ಆವತ್ತಿನ ದಿನ ಮನೆಯಿಂದ ಧನ ಧಾನ್ಯ ಹೊರಗೆ ಕೊಡುವುದಿಲ್ಲ,Don't let money out of the house on that day.
ನಿಧೀಶನು  ಹಾಡುತ್ತಾನೆ,Nidheesh sings
ಅದೊಂದು ದಿನ ಮೂರ್ತಿಯ ಕೆತ್ತನೆ ಮುಗಿದು ಹೋಗಿ ಬಾಹುಬಲಿಯ ಪ್ರತಿಸ್ಥಾಪನೆಗೆ ದಿನ ನಿಗದಿಯಾಗುತ್ತದೆ,One day the carving of the idol is finished and the day is fixed for the replacement of Baahubali.
ಸಾರ್ವಜನಿಕ ಆಚರಣೆಗೆ ಒಂಜಿ ಶಾಸ್ತ್ರೀಯವಾದ ಚೌಕಟ್ಟು ಇದೆ,There is a classical framework of Onji for public celebration.
ಅಕ್ಷಯನು ಕಾಣಿಸುತ್ತಿದ್ದಾನೆ,akshaya is looking
ಪ್ರಕಾಶನು ವಿಷ್ಣುವಿನ ಭಕ್ತನಾಗಿದ್ದಾನೆ,Prakashan is a devotee of Vishnu.
ಆ ಹೊತ್ತು ರಾತ್ರಿ ಕಾಲದ ಹನಿ ಮಂಜಿನಲ್ಲಿ ಒಂದು ಕೆಲಸ ಆಗಬೇಕು,"At that time, a task should be done in the drizzle of the night."
ಆದರೆ ತುಳುನಾಡಿನಲ್ಲಿ ಇದಕ್ಕಿಂತಲೂ ಸುಂದರವಾದ ಮೂರ್ತಿಯೊಂದನ್ನು ಕೆತ್ತಿ ತಲೆ ಎತ್ತಿ ನಿಲ್ಲುಸುತ್ತೇನೆ,But I will carve an even more beautiful statue in Tulunadu and raise my head.
ಹಣ್ಣು ತೆಗೆಯಲು ಮಾಣಿ ಇದೆ ಪೊದುಂಕುಲು ತೆಗೆಯಲು ಮಾಣಿ ಇಲ್ಲ,There is a waiter to harvest the fruit. There is no waiter to harvest the shrub.
ವಿನೀಶನು ಕಿರಿಕಿರಿ ಮಾಡುತ್ತಾನೆ,Vineesh is annoying
ಕಾರ್ತಿಕನು ಯುದ್ಧ-ಮಾಡುತ್ತಾನೆ,Kartik makes war
ಅದೆಕ್ಕೆ ಎಲ್ಲಾ ಕ್ಷಮೆ ನೀಡಿ ಎಲ್ಲರಿಗೂ ಸುಖ ಶಾಂತಿ ನೆಮ್ಮದಿ,Forgive me and peace to all.
ಕೋಟೆಯ ಒಳಗೆ ಹೊಕ್ಕಳು ಯಾವುದೇ ಒಂದು ತೂತು ಸಂದಿಯೂ ಇರಲಿಲ್ಲ,There was not a single hole in the umbilical cord inside the fort.
ಶಂಕರನು ಒಳ್ಳೆಯದನ್ನು ಕಲಿಯುತ್ತಾನೆ,Shankara learns the good
ಕಳೆದ ಸಲ ಕೊರೊನಾ ಸಮಯದಲ್ಲಿ ಖಾಸಗಿ ಆಸ್ಪತ್ರೆಯ ಸಾಮಾನ್ಯ ಬೆಡ್‍ನಲ್ಲಿ ರೋಗಲಕ್ಷಣ ಇದ್ದರೂ\ಇಲ್ಲದಿದ್ದರೂ ಚಿಕಿತ್ಸೆ ಪಡೆದುಕೊಳ್ಳುತ್ತಿದ್ದ ಎಪಿಎಲ್-ಬಿಪಿಎಲ್ ರೋಗಿಗಳಿಗೆ ಆಯುಷ್ಮಾನ್ ಭಾರತ್ ಯೋಜನೆಯಡಿಯಲ್ಲಿಚಿಕಿತ್ಸೆ ದೊರೆಯುತ್ತಿತ್ತು.,"Last time during Corona, APL-BPL patients who were receiving treatment in a normal bed of a private hospital even if they were symptomatic were getting treatment under the Ayushman Bharat scheme."
ಯಾಕೆ ಅಂದರೆ ತುಳುನಾಡಿನ ಜಾನಪದ ಪದದಲ್ಲಿ,Why is it in the folk word of Tulunadu?
ಸೀಮಂತ ಹಾಕುವುದನ್ನು ಹೆಚ್ಚಾಗಿ ಏಳನೆ ತಿಂಗಳಲ್ಲಿ ಹಾಕುವುದು,The sowing is done mostly in the seventh month.
ಉಣ್ಣಲು ಇಲ್ಲದ ದಿನ ಬರುತ್ತದೆ,There comes a day when there is no wool
ಮತ್ತೆ ಅದರಲ್ಲೊಂದು ಅವಳಿಗೆ ಪ್ರೀತಿಯೂ ಇದೆ,And one of them is her love.
ಪ್ರಶಾಂತನು ಒಳ್ಳೆಯದನ್ನು ಕಲಿಯುತ್ತಾನೆ,The serene one learns the good
ಮಗ ಹಠ ಹಿಡಿದಾಗ ಒಲ್ಲದ ಮನಸಿನಿಂದ ತಾಯಿ ಈರಮ್ಮ ಮಗನಿಗೆ ಆಶೀರ್ವಾದ ನೀಡಿ ಹರಸುತ್ತಾಳೆ,"When the son becomes stubborn, the mother reluctantly blesses her son."
ಬೋರುದ ಗಾಡಿ ಅಂದರೆ ಬೊರುವೆಲ್ ತೋಡುವ ಗಾಡಿ ಎಂದು,A borewell is a car that is dug into a borewell.
ಶಿವನು ನೆನೆಯುತ್ತಿದ್ದಾನೆ,Remembering Shiva
ವಿನೋದನು  ತೆಗೆದುಕೊಳ್ಳುತ್ತಾನೆ,The one who takes the fun
ಅವರು ಬೇರೆ ಹೊತ್ತಿನಲ್ಲಿ ಕೆಪ್ಪು ಮುಪ್ಪಿನಂತೆ ಇದ್ದರೂ,Although they were like kepu at another time
ತೈತ್ತರೀಯ ಉಪನಿಷತ್ತಿನಲ್ಲಿ ಇದನ್ನು ಹೇಳಿದ್ದಾರೆ,This is stated in the Taittariya Upanishad
"ಉಳಿದ ನೂರು ರೂಪಾಯಿಯಲ್ಲಿ ಜೀವನ ನಡೆಸುವುದು ಹೇಗೆ ಎಂದು ಕೇಳಿದ ಅವರು, ರಿಕ್ಷಾ ಚಾಲನೆ ಮಾಡಲು ಬೆಳಿಗ್ಗೆ 6 ಗಂಟೆಯಿಂದ ಮಧ್ಯಾಹ್ನ 12 ಗಂಟೆ ತನಕ ಅವಕಾಶ ಮಾಡಿ ಕೊಡಬೇಕೆಂದು ಅವರು ಮನವಿ ಮಾಡಿದರು.",He asked how he could make a living on the remaining one hundred rupees and requested that he be allowed to drive a rickshaw from 6 am to 12 noon.
ಯಾರು ಮಾಡಿದ್ದು ಎನ್ನುವ ಉತ್ತರ ನಾವು ಮಾನವರೇ ಹೊರತು ಭೂಮಿ ಬಾನು ಕಾಡು ಮೃಗಗಳು ಅಲ್ಲ,"The answer is who did it, we are human beings, not wild beasts of the earth."
ಅದನ್ನು ಹಿಡಿದುಕೊಂಡು ಅಲ್ಲಿಯೆ ಹತ್ತಿರದ ಗುಡ್ಡಕ್ಕೆ ಹೋದರು,"Grabbing it, he went there to a nearby hill."
ಮಲ್ಲೇಶನು  ಜಾರಿಸುತ್ತಿದ್ದಾನೆ,Mallesh is running
ನಲಿಯುವವರು ಸೊಂಟಕ್ಕೆ ಬಿಳಿಯ ಬಟ್ಟೆ ಧರಿಸುತ್ತಾರೆ,The chirper wears a white shirt around the waist
ಒಂದು ರಾತ್ರಿಯ ಸಂಚಾರ ಮುಗಿಯುವಾಗ,At the end of a night's traffic
ಹಿಂದಿನವರಿಗೆ ಕುಟುಂಬದ ಒಳಗಿನ ಜಗಳ ಆದರೆ ಅದನ್ನು ಸರಿ ಮಾಡುತ್ತಾ ಹೋಗುವ,"For the former, there is a dispute within the family, but it keeps getting better."
ಪ್ರಶಾಂತನು ವಾದಮಾಡುತ್ತಾನೆ,The serene one argues
ವಿಭವನು ತುಂಬಾ ಬಡವನಾಗಿದ್ದನು,Vibhav was very poor
ಇದನ್ನು ಗೇಂಟಿಕಟ್ಟುವುದು ಎನ್ನುತ್ತಾರೆ,This is called gingivitis.
ಮಳೆಗಾಲ ಆದರೆ ಸುಡಲಿಕ್ಕೆ ಸರಿಯಾದಂತಹ ಈಗಿನಂತೆ ಟರ್ಪಾಲು ಎಲ್ಲಾ ಇರಲಿಲ್ಲ,"It was raining but not all of it was tarpaulin, as it is now suitable for burning."
ಅಜಿತನು ಕಂಬವನ್ನು ಗಟ್ಟಿಯಾಗಿ ಹಿಡಿದುಕೊಂಡಿದ್ದಾನೆ,Ajit is holding the pillar firmly
ತಮಗೆ ಏನು ಬೇಕು ಎಂದು ಗುತ್ತಿನ ಮನೆಯವರು ಕೇಳುತ್ತಾರೆ,The tenant's family asks what they want
ಹಲಸು ಗೇರು ಮಾವು ಹುಣಸೆಹುಲಿ ಬೇವಿನೆಲೆ ಅರ್ತಿ ಅಂಬಡೆಯ ಮರ ಗಿಡಗಳು,"Jackfruit, mango, tamarind, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, guava, etc."
ಒಂದು ಮಾತು ನೆನಪು ಇಡು,Remember One Thing
ಅನೂಪನು ಹಾಡನ್ನು ಹಾಡುತ್ತಾನೆ,anoop sings the song
ವಿನಯನು ಕಂಬವನ್ನು ಗಟ್ಟಿಯಾಗಿ ಹಿಡಿದುಕೊಂಡಿದ್ದಾನೆ,Vinay is holding the pillar firmly
ಅರುಣನು ಕಾಗದವನ್ನು ಹರಿಯುತ್ತಿದ್ದಾನೆ,Aruna is flushing the paper
ಆದರ್ಶನು ಹಾಡುತ್ತಾನೆ,Adarsh sings
ಮತ್ತೆ ಚಟ ಬೇಡ ಎಂದು ಎಷ್ಟೂ ಹೇಳಿದರೂ ಅವರು ಕೇಳುವುದಿಲ್ಲ,"No matter how much they say no to addiction again, they don't listen."
ನಮ್ಮ ಹಿಂದಿನ ತುಳುವರು,The people of our past
ಮನೆಯಲ್ಲಿದ್ದರೆ ಎಲ್ಲಿಯೊ ಒಂದು ಮೂಲೆಯಲ್ಲಿ ಕೂತು ವೀಳ್ಯದೆಲೆ ಅಗಿಯುತ್ತಿರುತ್ತಾರೆ,"If you are at home, you are sitting somewhere in a corner and chewing gourd."
ನೆಪ ಕೊಟ್ಟು ತಪ್ಪಿಸಿ ಇರುತ್ತಾರೆ,Avoid giving excuses
ಕಾಟಕ್ಕೆ ಇಡುವ ಮರಕ್ಕೆ ಗಡಿ ಇಡುವವರು,The one who puts a boundary on the tree that is being cut down
ಮಳೆಗಾಲ ಕಳೆದಾಗ ಆ ಮನೆಗೆ ಗೋಡೆ ಇಡುವುದು,Putting up a wall in the house when the rainy season is over
ಇದೇ ಸಮಯದಲ್ಲಿ ಪ್ರಥಮ ವರ್ಷದ ಪಿಯುಸಿ ವಿದ್ಯಾರ್ಥಿಗಳ ಪರೀಕ್ಷೆಗಳನ್ನು ರದ್ದು ಮಾಡಿ ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ಮುಂದಿನ ತರಗತಿಗೆ ತೇರ್ಗಡೆ ಮಾಡುವ ನಿರ್ಧಾರ ತೆಗೆದುಕೊಳ್ಳಲಾಗಿದೆ ಎಂದು ಸುರೇಶ್ ಕುಮಾರ್ ಹೇಳಿದರು.,"At the same time, Suresh Kumar said, a decision has been taken to cancel the exams of first-year PUC students and pass the students to the next class."
ದೋಣಿಯಲ್ಲಿ ಮೀನು ಹಿಡಿಯುತ್ತಾರೆ,Fishing in a boat
ಆರವನು ವಾಹನವನ್ನು ಚಲಾಯಿಸುತ್ತಿದ್ದಾನೆ,A sixth person is driving the vehicle
ಬಡಿಸಲಿಕ್ಕೆ ಮುಗುಳಿ ಸೊತ್ತುಗಳನ್ನು ಬಡಿಸುವುದು,Smiling to serve
ಮನೋಹರನು ಮಳೆಯಲ್ಲಿ ನೆನೆಯುತ್ತಿದ್ದಾನೆ,Manohar is soaking in the rain
ಬಂದ ವಿಚಾರವನ್ನು ಹೇಳಿದರು ಕಾನದ ಪೂಜಾರಿಯ ಶೇಂದಿಯ ಪಾತ್ರೆಯಲ್ಲಿ ರಕ್ತದ ಓಕುಲಿ ಬಂತು,"When the priest told him about the incident, he found a drop of blood in the jar."
ಮನಸ್ಸು ಸ್ವಲ್ಪ ಚಂಚಲವಂತೆ,The mind becomes a little restless.
ವಿವೇಕನು  ನಡೆಯುತ್ತಿದ್ದಾನೆ,The Wise One Is Walking
ಮೋಹನನು ಹೊದಿಕೆಯನ್ನು ಉಪಯೋಗಿಸುತ್ತಿದ್ದಾನೆ,Mohan is using a blanket
ಅನ್ವಯನು ಚುರುಕಾಗಿ ಕೆಲಸವನ್ನು ಮಾಡುತ್ತಾನೆ,The application works faster
ರಾಮಚಂದ್ರನು ಬಾಣವನ್ನು ಬಿಡುತ್ತಾನೆ,Ramachandra releases an arrow
ವಿನೀತನು ಬುದ್ಧಿಹೀನನಾಗಿದ್ದಾನೆ,The humble one is unintelligent
ವಿಜಯನು ಹೊಸಬಟ್ಟೆಯನ್ನು ತೊಟ್ಟಿದ್ದಾನೆ,Vijay is wearing a new shirt
ಯತ್ರೊ ನಾರ್ಯಂಚೊ ಪೂಜ್ಯಂತೆ ಯತ್ರೊ ತತ್ರ ದೇವತಃ,Yathro Naryancho is worshipped as Yathro Tatra Devta:
ಹಾಗಾಗಿ ಹೆಣ್ಣು ಗರ್ಭಿಣಿ ಆದರೆ ಅವಳ ಚಾಕರಿ ಕೆಲಸ ಎಲ್ಲವೂ ಬೇರೆಯೆ,So the girl is pregnant but her job is different.
ಹಾಗೆಯೇ ಘಟ್ಟದ ಮೇಲೆ,as well as on stage
ಈ ಕಾರ್ಯ ಮಾಡಿದವ ಮತ್ತೆ ಸಂಬಂಧದ ಎರಡು ಮೂರು ಜನ ಗಡ್ಡ ಮೀಸೆ ಕುದಲು ಬೋಲಿಸಿ ಸ್ನಾನಮಾಡಿ ಹೊಸ ಬಟ್ಟೆ ಉಡುತ್ತಾರೆ,"The person who has done this again, two or three people of the relationship take a bath after boiling the beard and moustache and put on new clothes."
ಮೂಲ್ಕಿ ಬ್ಲಾಕ್ ಕಾಂಗ್ರೆಸ್ ಸಮಿತಿ ಮತ್ತು ಸಸಿಹಿತ್ಲು ಅಗ್ಗಿದಕಳಿಯ ಬ್ರಹ್ಮಶ್ರೀ ನಾರಾಯಣಗುರು ಸೇವಾ ಸಮಿತಿಯ ಸಹಭಾಗಿತ್ವದಲ್ಲಿ ಶನಿವಾರ ಆರಂಭಗೊಂಡ ಉಚಿತ ಆಂಬುಲೆನ್ಸ್ ಸೇವೆಯನ್ನು ಮಾಜಿ ಸಚಿವ ಕೆ. ಅಭಯಚಂದ್ರ ಜೈನ್ ಉದ್ಘಾಟನೆ ಮಾಡಿದರು.,Former minister K. Abhayachandra Jain inaugurated the free ambulance service launched on Saturday in partnership with Mulky Block Congress Committee and Brahmasree Narayanaguru Seva Samiti of Sasihitlu Agchidikali.
